approach,D,W,F,profile,p_read,p_write,p_mkdir,p_ls,p_mv,p_find,dist,zipf_s,locality,ops,repeats,avg_latency_us,p99_latency_us,throughput_ops_sec,memory_bytes,avg_latency_us_std,p99_latency_us_std,throughput_ops_sec_std,memory_bytes_std
case_a,10,100,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,18.4679,780,54783.4,221480,2.20692,29.5396,6898.67,198.096
case_a,10,100,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,14.0652,659.386,72057.8,221980,1.88304,53.3775,9505.12,167.688
case_a,10,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.53213,11.7286,655767,222608,0.210319,1.85177,106416,98.6391
case_a,10,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,21.2051,817.243,47690.3,225532,2.53701,43.1014,5691.19,232.488
case_a,10,100,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,15.7376,695.643,64159,226096,1.73982,57.802,7484.17,129.552
case_a,10,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.24372,8.07143,796920,435268,0.141536,1.07194,74454.3,199.854
case_a,10,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,43.0397,1935.19,23495.6,437948,5.02512,57.6423,2747.92,363.377
case_a,10,300,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,31.4314,1737.66,32293.6,438514,4.20605,43.2691,4420.76,323.398
case_a,10,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.2518,11.0429,794001,444840,0.16262,2.07192,84543.3,262.342
case_a,10,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,45.1426,2013.07,22450.5,448631,5.63303,34.9371,2918.89,238.803
case_a,10,300,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,33.9768,1858.61,30250.1,449279,6.04698,73.4529,5575.98,239.555
case_a,10,300,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,2.45524,25.3286,417531,456745,0.482313,5.70897,85101.5,403.765
case_a,10,300,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,47.1008,2089.51,21635.2,461167,6.97381,49.0989,3291.68,275.735
case_a,10,300,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,35.0237,1927.96,29018.7,461909,4.64992,57.6698,4284.17,130.013
case_a,15,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.18301,7.35714,834870,215456,0.105882,2.27366,72614.1,63.1242
case_a,15,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,7.96437,309.371,126661,215498,0.942556,41.4203,14488.6,96.5807
case_a,15,10,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,6.07246,215.214,166808,215542,0.843809,59.718,23480.2,95.4096
case_a,15,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.33856,7.54286,741716,215669,0.13768,2.40684,79353.6,70.4474
case_a,15,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,8.32853,309.4,121174,215775,0.937177,38.2974,15023.9,106.119
case_a,15,10,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,5.86023,207.786,172101,215916,0.717023,55.3749,20335.9,128.885
case_a,15,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.46694,6.87143,686111,215933,0.239606,0.853843,108627,56.1724
case_a,15,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,9.62355,341.914,104364,216185,0.849788,22.0908,9228.19,111.903
case_a,15,10,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,6.68717,241.429,150583,216424,0.736259,48.755,16678.8,109.519
case_a,15,30,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.16928,7.58571,846684,215938,0.121928,1.7411,87147.1,103.199
case_a,15,30,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,10.8476,466.429,92983.5,216279,1.15855,48.9959,10824.5,168.529
case_a,15,30,0.3,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,8.52117,346.357,118962,216510,1.16127,58.7578,16797.2,96.0963
case_a,15,30,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.39109,9.28571,713784,216739,0.144529,1.39574,72153.4,142.334
case_a,15,30,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,1.5,0.3,5000,7,11.4267,481.4,88100.8,217605,1.13732,47.6009,8977.71,132.015
case_a,15,30,0.6,build_system,0.45,0.3,0.1,0.05,0.05,0.05,zipf,2,0.8,5000,7,8.9969,364.386,113794,217978,1.53693,65.5876,20570.2,145.621
case_a,15,30,0.95,build_system,0.45,0.3,0.1,0.05,0.05,0.05,uniform,1.5,0,5000,7,1.65192,8.3,601216,217874,0.146136,1.23288,52616.2,96.8315
